TrialIndex	BlockNr	TrialType	EncodingStimType	StimType	ImagePresented	Xcoordinate	Ycoordinate	EncodingTrialIndex	EncodingImage	EncodingXcoordinate	EncodingYcoordinate	FILLING
1	1	OBJ	FOIL	FOIL								0
2	1	OBJ	OLP	LURE								0
3	1	OBJ	OLP	TARGET								0
4	1	OBJ	FOIL	FOIL								0
5	1	OBJ	OLP	TARGET								0
6	1	OBJ	FOIL	FOIL								0
7	1	OBJ	OLP	TARGET								0
8	1	OBJ	ERP	TARGET								0
9	1	OBJ	ERP	TARGET								0
10	1	OBJ	FOIL	FOIL								0
11	1	OBJ	LLP	LURE								0
12	1	OBJ	FOIL	FOIL								0
13	1	OBJ	ERP	LURE								0
14	1	OBJ	FOIL	FOIL								0
15	1	OBJ	ERP	LURE								0
16	1	OBJ	LLP	LURE								0
17	1	OBJ	LLP	TARGET								0
18	1	OBJ	FOIL	FOIL								0
19	2	LOC	ERP	TARGET								0
20	2	LOC	OLP	FOIL								0
21	2	LOC	LLP	LURE								0
22	2	LOC	ERP	TARGET								0
23	2	LOC	ERP	TARGET								0
24	2	LOC	LLP	TARGET								0
25	2	LOC	LLP	FOIL								0
26	2	LOC	LLP	TARGET								0
27	2	LOC	OLP	FOIL								0
28	2	LOC	OLP	LURE								0
29	2	LOC	LLP	FOIL								0
30	2	LOC	ERP	FOIL								0
31	2	LOC	ERP	FOIL								0
32	2	LOC	ERP	FOIL								0
33	2	LOC	LLP	LURE								0
34	2	LOC	LLP	TARGET								0
35	2	LOC	LLP	LURE								0
36	2	LOC	OLP	FOIL								0
37	3	OBJ	FOIL	FOIL								0
38	3	OBJ	FOIL	FOIL								0
39	3	OBJ	LLP	LURE								0
40	3	OBJ	LLP	TARGET								0
41	3	OBJ	ERP	TARGET								0
42	3	OBJ	OLP	LURE								0
43	3	OBJ	LLP	TARGET								0
44	3	OBJ	ERP	TARGET								0
45	3	OBJ	LLP	TARGET								0
46	3	OBJ	LLP	TARGET								0
47	3	OBJ	OLP	LURE								0
48	3	OBJ	OLP	LURE								0
49	3	OBJ	FOIL	FOIL								0
50	3	OBJ	FOIL	FOIL								0
51	3	OBJ	ERP	LURE								0
52	3	OBJ	OLP	LURE								0
53	3	OBJ	ERP	LURE								0
54	3	OBJ	OLP	LURE								0
55	4	LOC	LLP	LURE								0
56	4	LOC	OLP	LURE								0
57	4	LOC	ERP	LURE								0
58	4	LOC	OLP	FOIL								0
59	4	LOC	LLP	FOIL								0
60	4	LOC	OLP	LURE								0
61	4	LOC	LLP	TARGET								0
62	4	LOC	OLP	TARGET								0
63	4	LOC	LLP	FOIL								0
64	4	LOC	OLP	LURE								0
65	4	LOC	OLP	LURE								0
66	4	LOC	OLP	TARGET								0
67	4	LOC	ERP	LURE								0
68	4	LOC	ERP	LURE								0
69	4	LOC	ERP	LURE								0
70	4	LOC	OLP	TARGET								0
71	4	LOC	LLP	TARGET								0
72	4	LOC	OLP	FOIL								0
