TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Fill
1,LLP,1,2,1,,,,300,0,251.6011704,163.3917105,222.9434476,200.7391819,-298.3565686,-31.35853898,0
2,ERP,1,2,1,,,,299.5888604,15.70078687,274.0636373,-122.0209929,274.0636373,-122.0209929,-300,3.67E-14,0
3,LLP,1,5,1,,,,298.3565686,31.35853898,285.3169549,-92.70509831,280.0741279,107.5103849,-300,3.67E-14,0
4,LLP,2,0,1,,,,300,0,251.6011704,163.3917105,222.9434476,200.7391819,-298.3565686,-31.35853898,0
5,ERP,2,0,1,,,,299.5888604,15.70078687,274.0636373,-122.0209929,274.0636373,-122.0209929,-300,3.67E-14,0
6,OLP,1,8,1,,,,296.3065022,46.93033951,251.6011704,163.3917105,293.4442802,-62.37350725,-289.7777479,-77.64571353,0
7,LLP,1,4,1,,,,293.4442802,62.37350725,285.3169549,-92.70509831,200.7391819,222.9434476,-289.7777479,-77.64571353,0
8,OLP,1,8,1,,,,289.7777479,77.64571353,280.0741279,-107.5103849,298.3565686,31.35853898,-296.3065022,-46.93033951,0
9,LLP,2,0,1,,,,298.3565686,31.35853898,285.3169549,-92.70509831,280.0741279,107.5103849,-300,3.67E-14,0
10,OLP,1,5,1,,,,285.3169549,92.70509831,298.3565686,31.35853898,222.9434476,200.7391819,-274.0636373,-122.0209929,0
11,OLP,1,6,1,,,,280.0741279,107.5103849,188.7961173,233.1437884,285.3169549,-92.70509831,-280.0741279,-107.5103849,0
12,LLP,2,0,1,,,,293.4442802,62.37350725,285.3169549,-92.70509831,200.7391819,222.9434476,-289.7777479,-77.64571353,0
13,OLP,1,6,1,,,,274.0636373,122.0209929,298.3565686,31.35853898,188.7961173,233.1437884,-267.3019573,-136.1971499,0
14,ERP,1,4,1,,,,267.3019573,136.1971499,296.3065022,46.93033951,296.3065022,46.93033951,-280.0741279,-107.5103849,0
15,OLP,2,0,1,,,,296.3065022,46.93033951,251.6011704,163.3917105,293.4442802,-62.37350725,-289.7777479,-77.64571353,0
16,OLP,2,0,1,,,,285.3169549,92.70509831,298.3565686,31.35853898,222.9434476,200.7391819,-274.0636373,-122.0209929,0
17,OLP,2,0,1,,,,289.7777479,77.64571353,280.0741279,-107.5103849,298.3565686,31.35853898,-296.3065022,-46.93033951,0
18,OLP,2,0,1,,,,280.0741279,107.5103849,188.7961173,233.1437884,285.3169549,-92.70509831,-280.0741279,-107.5103849,0
19,ERP,2,0,1,,,,267.3019573,136.1971499,296.3065022,46.93033951,296.3065022,46.93033951,-280.0741279,-107.5103849,0
20,OLP,2,0,1,,,,274.0636373,122.0209929,298.3565686,31.35853898,188.7961173,233.1437884,-267.3019573,-136.1971499,0
21,BL,0,0,1,,,,259.8076211,150,,,,,,,0
22,OLP,1,2,1,,,,259.8076211,150,289.7777479,77.64571353,92.70509831,285.3169549,-267.3019573,-136.1971499,0
23,OLP,1,6,1,,,,251.6011704,163.3917105,299.5888604,15.70078687,285.3169549,92.70509831,-267.3019573,-136.1971499,0
24,OLP,1,2,1,,,,242.7050983,176.3355757,298.3565686,-31.35853898,77.64571353,289.7777479,-222.9434476,-200.7391819,0
25,OLP,2,0,1,,,,259.8076211,150,289.7777479,77.64571353,92.70509831,285.3169549,-267.3019573,-136.1971499,0
26,LLP,1,8,1,,,,233.1437884,188.7961173,62.37350725,293.4442802,188.7961173,233.1437884,-222.9434476,-200.7391819,0
27,OLP,2,0,1,,,,242.7050983,176.3355757,298.3565686,-31.35853898,77.64571353,289.7777479,-222.9434476,-200.7391819,0
28,LLP,1,4,1,,,,222.9434476,200.7391819,62.37350725,293.4442802,289.7777479,77.64571353,-233.1437884,-188.7961173,0
29,ERP,1,8,1,,,,212.1320344,212.1320344,280.0741279,107.5103849,150,259.8076211,-200.7391819,-222.9434476,0
30,OLP,2,0,1,,,,251.6011704,163.3917105,299.5888604,15.70078687,285.3169549,92.70509831,-267.3019573,-136.1971499,0
31,LLP,1,5,1,,,,200.7391819,222.9434476,296.3065022,46.93033951,280.0741279,107.5103849,-188.7961173,-233.1437884,0
32,OLP,1,6,1,,,,188.7961173,233.1437884,-31.35853898,298.3565686,233.1437884,188.7961173,-176.3355757,-242.7050983,0
33,LLP,2,0,1,,,,222.9434476,200.7391819,62.37350725,293.4442802,289.7777479,77.64571353,-233.1437884,-188.7961173,0
