Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.rt,enc_trial_key.started,enc_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_fx_key.rt,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_enc_run_text.started,start_enc_run_text.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,Azonosító kód,Nem,Csoport,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.03859519999969,None,14.50381379999817,None,14.50381379999817,None,d,0.5644146000013279,19.47032549999858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1735,TerKepEsz-Encoding_MR,2020.1.3,59.99152919617801,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.47032549999858,None,20.05366569999751,None,20.05366569999751,None,right,20.97390770000129,25.03684859999703,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1735,TerKepEsz-Encoding_MR,2020.1.3,59.99152919617801,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.03684859999703,None,46.03639149999799,None,d,16.455061900000146,51.01956169999903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1735,TerKepEsz-Encoding_MR,2020.1.3,59.99152919617801,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/166a.jpg,-0.0781,0.4167,1500,Encoding,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01956169999903,None,67.50291449999713,None,68.53619299999991,None,68.53619299999991,None,None,68.53619299999991,None,70.06910710000011,None,70.06910710000011,None,c,0.47770780000064406,70.06910710000011,None,73.0860795999979,None,73.0860795999979,None,73.0860795999979,None,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1735,TerKepEsz-Encoding_MR,2020.1.3,59.99152919617801,
EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,0.2344,0.4167,500,Encoding,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.05238969999846,None,74.05238969999846,None,None,74.05238969999846,None,74.56902989999799,None,74.56902989999799,None,b,0.6977107999991858,74.56902989999799,None,77.58559559999776,None,77.58559559999776,None,77.58559559999776,None,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1735,TerKepEsz-Encoding_MR,2020.1.3,59.99152919617801,
EncodingPractice,OBJ,FOIL,1,stimuli/fractals/149a.jpg,0.2344,-0.1389,1000,Encoding,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5689375999973,None,78.5689375999973,None,c,78.5689375999973,None,79.58558189999894,None,79.58558189999894,None,None,,79.58558189999894,None,82.60214509999787,None,82.60214509999787,None,82.60214509999787,None,0.9220332000004419,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1735,TerKepEsz-Encoding_MR,2020.1.3,59.99152919617801,
EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,0.2344,-0.1389,1000,Encoding,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.58546869999918,None,83.58546869999918,None,None,83.58546869999918,None,84.60209469999972,None,84.60209469999972,None,b,0.47257119999994757,84.60209469999972,None,87.60202740000022,None,87.60202740000022,None,87.60202740000022,None,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1735,TerKepEsz-Encoding_MR,2020.1.3,59.99152919617801,
EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,-0.3906,0.4167,5000,Encoding,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.6019954000003,None,88.6019954000003,None,None,88.6019954000003,None,93.61855589999686,None,93.61855589999686,None,c,0.3681153999968956,93.61855589999686,None,96.63513979999698,None,96.63513979999698,None,96.63513979999698,None,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1735,TerKepEsz-Encoding_MR,2020.1.3,59.99152919617801,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,-0.3906,0.4167,800,Encoding,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.61845299999914,None,97.61845299999914,None,None,97.61845299999914,None,98.45176989999891,None,98.45176989999891,None,c,0.839272199998959,98.45176989999891,None,101.45169199999873,None,101.45169199999873,None,101.45169199999873,None,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1735,TerKepEsz-Encoding_MR,2020.1.3,59.99152919617801,
EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-0.0781,-0.1389,3000,Encoding,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.43500789999962,None,102.43500789999962,None,None,102.43500789999962,None,105.45157979999931,None,105.45157979999931,None,c,1.2394896000005247,105.45157979999931,None,108.4515255999977,None,108.4515255999977,None,108.4515255999977,None,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1735,TerKepEsz-Encoding_MR,2020.1.3,59.99152919617801,
