Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_practice_fx_interior.started,enc_practice_fx_interior.stopped,enc_practice_fx_cross.started,enc_practice_fx_cross.stopped,enc_practice_fx_key.keys,enc_practice_fx_key.started,enc_practice_fx_key.stopped,enc_practice_trial_interior.started,enc_practice_trial_interior.stopped,enc_practice_trial_main_image.started,enc_practice_trial_main_image.stopped,enc_practice_trial_key.keys,enc_practice_trial_key.rt,enc_practice_trial_key.started,enc_practice_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,trigger_time,start_enc_run_text.started,start_enc_run_text.stopped,start_enc_run_trigger.keys,start_enc_run_trigger.rt,start_enc_run_trigger.started,start_enc_run_trigger.stopped,fx_start_time,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_fx_trigger.keys,enc_fx_trigger.rt,enc_fx_trigger.started,enc_fx_trigger.stopped,stimulus_start_time,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,enc_trial_trigger.keys,enc_trial_trigger.rt,enc_trial_trigger.started,enc_trial_trigger.stopped,enc_fx_key.rt,enc_trial_key.rt,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,enc_run_end_continue.started,enc_run_end_continue.stopped,Azonosító kód,Nem,Csoport,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.46126170000207,None,13.889649100001407,None,13.889649100001407,None,d,5.6337113000008685,18.85620639999979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1909,TerKepEsz-Encoding_MR,2020.1.3,59.98523163655802,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.85620639999979,None,24.50609590000022,None,24.50609590000022,None,d,16.04085649999979,29.489312400000927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1909,TerKepEsz-Encoding_MR,2020.1.3,59.98523163655802,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.489312400000927,None,45.55558470000324,None,d,0.9511187999996764,50.538799500001915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1909,TerKepEsz-Encoding_MR,2020.1.3,59.98523163655802,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/166a.jpg,-0.0781,0.4167,1500,Encoding,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.538799500001915,None,51.50544820000141,None,52.52205310000136,None,52.52205310000136,None,None,52.52205310000136,None,54.054973600002995,None,54.054973600002995,None,c,0.46689799999876413,54.054973600002995,None,57.07170920000135,None,57.07170920000135,None,57.07170920000135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1909,TerKepEsz-Encoding_MR,2020.1.3,59.98523163655802,
EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,0.2344,0.4167,500,Encoding,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0383447000022,None,58.0383447000022,None,None,58.0383447000022,None,58.55502940000224,None,58.55502940000224,None,None,,58.55502940000224,None,61.571599500002776,None,61.571599500002776,None,61.571599500002776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1909,TerKepEsz-Encoding_MR,2020.1.3,59.98523163655802,
EncodingPractice,OBJ,FOIL,1,stimuli/fractals/149a.jpg,0.2344,-0.1389,1000,Encoding,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.55494430000181,None,62.55494430000181,None,None,62.55494430000181,None,63.57158909999998,None,63.57158909999998,None,None,,63.57158909999998,None,66.58814450000136,None,66.58814450000136,None,66.58814450000136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1909,TerKepEsz-Encoding_MR,2020.1.3,59.98523163655802,
EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,0.2344,-0.1389,1000,Encoding,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.57146480000301,None,67.57146480000301,None,None,67.57146480000301,None,68.58811340000102,None,68.58811340000102,None,None,,68.58811340000102,None,71.60468830000173,None,71.60468830000173,None,71.60468830000173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1909,TerKepEsz-Encoding_MR,2020.1.3,59.98523163655802,
EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,-0.3906,0.4167,5000,Encoding,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.587993000001,None,72.587993000001,None,None,72.587993000001,None,77.60454320000281,None,77.60454320000281,None,None,,77.60454320000281,None,80.62113330000284,None,80.62113330000284,None,80.62113330000284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1909,TerKepEsz-Encoding_MR,2020.1.3,59.98523163655802,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,-0.3906,0.4167,800,Encoding,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.60445320000144,None,81.60445320000144,None,None,81.60445320000144,None,82.42109090000304,None,82.42109090000304,None,None,,82.42109090000304,None,85.43769150000298,None,85.43769150000298,None,85.43769150000298,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1909,TerKepEsz-Encoding_MR,2020.1.3,59.98523163655802,
EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-0.0781,-0.1389,3000,Encoding,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.42108160000134,None,86.42108160000134,None,None,86.42108160000134,None,89.43758880000314,None,89.43758880000314,None,None,,89.43758880000314,None,92.45418510000309,None,92.45418510000309,None,92.45418510000309,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1909,TerKepEsz-Encoding_MR,2020.1.3,59.98523163655802,
