Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_practice_fx_interior.started,enc_practice_fx_interior.stopped,enc_practice_fx_cross.started,enc_practice_fx_cross.stopped,enc_practice_fx_key.keys,enc_practice_fx_key.started,enc_practice_fx_key.stopped,enc_practice_trial_interior.started,enc_practice_trial_interior.stopped,enc_practice_trial_main_image.started,enc_practice_trial_main_image.stopped,enc_practice_trial_key.keys,enc_practice_trial_key.started,enc_practice_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_practice_trial_key.rt,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,trigger_time,trigger,start_enc_run_text.started,start_enc_run_text.stopped,start_enc_run_trigger.keys,start_enc_run_trigger.started,start_enc_run_trigger.stopped,fx_start_time,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_fx_trigger.keys,enc_fx_trigger.rt,enc_fx_trigger.started,enc_fx_trigger.stopped,stimulus_start_time,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,enc_trial_trigger.keys,enc_trial_trigger.rt,enc_trial_trigger.started,enc_trial_trigger.stopped,enc_fx_key.rt,enc_trial_key.rt,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,enc_run_end_continue.started,enc_run_end_continue.stopped,start_enc_run_trigger.rt,Azonosító kód,Nem,Csoport,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.465866900001856,None,16.91402720000042,None,16.91402720000042,None,d,0.5236478000006173,21.88057640000261,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.88057640000261,None,22.430609099999856,None,22.430609099999856,None,d,0.49443519999840646,27.413775500001066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.413775500001066,None,27.93046990000221,None,d,1.2265934999995807,32.91364710000198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/166a.jpg,-0.0781,0.4167,1500,Encoding,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.91364710000198,None,34.16360480000003,None,35.19693030000053,None,35.19693030000053,None,None,35.19693030000053,None,36.72986189999938,None,36.72986189999938,None,None,36.72986189999938,None,39.74644450000051,None,39.74644450000051,None,39.74644450000051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,0.2344,0.4167,500,Encoding,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.71309560000009,None,40.71309560000009,None,None,40.71309560000009,None,41.22975080000106,None,41.22975080000106,None,b,41.22975080000106,None,44.24634490000244,None,44.24634490000244,None,44.24634490000244,None,0.574377299999469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
EncodingPractice,OBJ,FOIL,1,stimuli/fractals/149a.jpg,0.2344,-0.1389,1000,Encoding,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2296591000013,None,45.2296591000013,None,None,45.2296591000013,None,46.24629560000176,None,46.24629560000176,None,c,46.24629560000176,None,49.26291720000154,None,49.26291720000154,None,49.26291720000154,None,0.565880099999049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,0.2344,-0.1389,1000,Encoding,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.246192800001154,None,50.246192800001154,None,None,50.246192800001154,None,51.26286590000018,None,51.26286590000018,None,None,51.26286590000018,None,54.27943040000173,None,54.27943040000173,None,54.27943040000173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,-0.3906,0.4167,5000,Encoding,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.26274270000067,None,55.26274270000067,None,None,55.26274270000067,None,60.29609700000219,None,60.29609700000219,None,c,60.29609700000219,None,63.29601470000125,None,63.29601470000125,None,63.29601470000125,None,1.3642624999993131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,-0.3906,0.4167,800,Encoding,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.27931720000197,None,64.27931720000197,None,None,64.27931720000197,None,65.09596640000018,None,65.09596640000018,None,None,65.09596640000018,None,68.11256649999996,None,68.11256649999996,None,68.11256649999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-0.0781,-0.1389,3000,Encoding,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.09586770000169,None,69.09586770000169,None,None,69.09586770000169,None,72.11246559999927,None,72.11246559999927,None,None,72.11246559999927,None,75.12906400000065,None,75.12906400000065,None,75.12906400000065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_27_1958,TerKepEsz-Encoding_MR,2020.1.3,60.09510651611249,
