Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_practice_fx_interior.started,enc_practice_fx_interior.stopped,enc_practice_fx_cross.started,enc_practice_fx_cross.stopped,enc_practice_fx_key.keys,enc_practice_fx_key.started,enc_practice_fx_key.stopped,enc_practice_trial_interior.started,enc_practice_trial_interior.stopped,enc_practice_trial_main_image.started,enc_practice_trial_main_image.stopped,enc_practice_trial_key.keys,enc_practice_trial_key.rt,enc_practice_trial_key.started,enc_practice_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_practice_fx_key.rt,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,Azonosító kód,Nem,Csoport,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,25.092613599999822,None,26.53034200000002,None,26.53034200000002,None,d,1.3189299000000574,31.496979099999862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1129,TerKepEsz-Encoding_MR,2020.1.3,60.01864179021716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,31.496979099999862,None,32.846964599999865,None,32.846964599999865,None,d,0.7055272000002333,37.83018399999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1129,TerKepEsz-Encoding_MR,2020.1.3,60.01864179021716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.83018399999992,None,38.563528300000144,None,d,0.8210189999999784,43.54670209999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1129,TerKepEsz-Encoding_MR,2020.1.3,60.01864179021716,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/166a.jpg,-0.0781,0.4167,1500,Encoding,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.54670209999995,None,44.3968175,None,45.43013680000013,None,45.43013680000013,None,None,45.43013680000013,None,46.97971869999992,None,46.97971869999992,None,c,1.0361707000001843,46.97971869999992,None,49.979663300000084,None,49.979663300000084,None,49.979663300000084,None,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1129,TerKepEsz-Encoding_MR,2020.1.3,60.01864179021716,
EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,0.2344,0.4167,500,Encoding,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.94629799999984,None,50.94629799999984,None,None,50.94629799999984,None,51.462958999999955,None,51.462958999999955,None,b,0.46471500000006927,51.462958999999955,None,54.46289949999982,None,54.46289949999982,None,54.46289949999982,None,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1129,TerKepEsz-Encoding_MR,2020.1.3,60.01864179021716,
EncodingPractice,OBJ,FOIL,1,stimuli/fractals/149a.jpg,0.2344,-0.1389,1000,Encoding,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.46286280000004,None,55.46286280000004,None,None,55.46286280000004,None,56.496175499999936,None,56.496175499999936,None,c,0.31978509999999005,56.496175499999936,None,59.479445699999815,None,59.479445699999815,None,59.479445699999815,None,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1129,TerKepEsz-Encoding_MR,2020.1.3,60.01864179021716,
EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,0.2344,-0.1389,1000,Encoding,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4794195999998,None,60.4794195999998,None,None,60.4794195999998,None,61.49605840000004,None,61.49605840000004,None,b,0.5519129999997858,61.49605840000004,None,64.49600520000013,None,64.49600520000013,None,64.49600520000013,None,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1129,TerKepEsz-Encoding_MR,2020.1.3,60.01864179021716,
EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,-0.3906,0.4167,5000,Encoding,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.49598250000008,None,65.49598250000008,None,c,65.49598250000008,None,70.5291901999999,None,70.5291901999999,None,c,0.42244869999967705,70.5291901999999,None,73.52911970000014,None,73.52911970000014,None,73.52911970000014,None,0.9918876000001546,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1129,TerKepEsz-Encoding_MR,2020.1.3,60.01864179021716,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,-0.3906,0.4167,800,Encoding,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5124221000001,None,74.5124221000001,None,None,74.5124221000001,None,75.3457327000001,None,75.3457327000001,None,c,1.1100031999999374,75.3457327000001,None,78.34566229999973,None,78.34566229999973,None,78.34566229999973,None,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1129,TerKepEsz-Encoding_MR,2020.1.3,60.01864179021716,
EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-0.0781,-0.1389,3000,Encoding,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.32896729999993,None,79.32896729999993,None,None,79.32896729999993,None,82.36223169999994,None,82.36223169999994,None,b,0.4696743999998034,82.36223169999994,None,85.36216319999994,None,85.36216319999994,None,85.36216319999994,None,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1129,TerKepEsz-Encoding_MR,2020.1.3,60.01864179021716,
