Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_practice_fx_interior.started,enc_practice_fx_interior.stopped,enc_practice_fx_cross.started,enc_practice_fx_cross.stopped,enc_practice_fx_key.keys,enc_practice_fx_key.started,enc_practice_fx_key.stopped,enc_practice_trial_interior.started,enc_practice_trial_interior.stopped,enc_practice_trial_main_image.started,enc_practice_trial_main_image.stopped,enc_practice_trial_key.keys,enc_practice_trial_key.rt,enc_practice_trial_key.started,enc_practice_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_practice_fx_key.rt,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,trigger_time,trigger,start_enc_run_text.started,start_enc_run_text.stopped,start_enc_run_trigger.keys,start_enc_run_trigger.started,start_enc_run_trigger.stopped,loop_start_time,Azonosító kód,Nem,Csoport,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.379438500000106,None,14.817800400000124,None,14.817800400000124,None,d,1.1041371999999683,19.784395399999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1132,TerKepEsz-Encoding_MR,2020.1.3,59.99401259756743,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.784395399999994,None,20.917654800000037,None,20.917654800000037,None,d,0.7637061000000358,25.90088280000009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1132,TerKepEsz-Encoding_MR,2020.1.3,59.99401259756743,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.90088280000009,None,26.68419730000005,None,d,0.8930640999997195,31.667402800000218,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1132,TerKepEsz-Encoding_MR,2020.1.3,59.99401259756743,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/166a.jpg,-0.0781,0.4167,1500,Encoding,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.667402800000218,None,32.584042599999975,None,33.617367300000296,None,33.617367300000296,None,None,33.617367300000296,None,35.15029890000005,None,35.15029890000005,None,c,1.4181737000003523,35.15029890000005,None,38.16689270000006,None,38.16689270000006,None,38.16689270000006,None,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1132,TerKepEsz-Encoding_MR,2020.1.3,59.99401259756743,
EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,0.2344,0.4167,500,Encoding,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.13353150000012,None,39.13353150000012,None,None,39.13353150000012,None,39.633534600000075,None,39.633534600000075,None,b,2.3830072000000655,39.633534600000075,None,42.65012160000015,None,42.65012160000015,None,42.65012160000015,None,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1132,TerKepEsz-Encoding_MR,2020.1.3,59.99401259756743,
EncodingPractice,OBJ,FOIL,1,stimuli/fractals/149a.jpg,0.2344,-0.1389,1000,Encoding,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.65009740000005,None,43.65009740000005,None,None,43.65009740000005,None,44.65007700000024,None,44.65007700000024,None,b,0.41446760000008,44.65007700000024,None,47.65000770000006,None,47.65000770000006,None,47.65000770000006,None,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1132,TerKepEsz-Encoding_MR,2020.1.3,59.99401259756743,
EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,0.2344,-0.1389,1000,Encoding,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.64998420000029,None,48.64998420000029,None,None,48.64998420000029,None,49.64996060000021,None,49.64996060000021,None,b,0.60656119999976,49.64996060000021,None,52.649892400000226,None,52.649892400000226,None,52.649892400000226,None,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1132,TerKepEsz-Encoding_MR,2020.1.3,59.99401259756743,
EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,-0.3906,0.4167,5000,Encoding,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.64985690000003,None,53.64985690000003,None,b,53.64985690000003,None,58.66654840000001,None,58.66654840000001,None,None,,58.66654840000001,None,61.68313530000023,None,61.68313530000023,None,61.68313530000023,None,1.8865712000001622,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1132,TerKepEsz-Encoding_MR,2020.1.3,59.99401259756743,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,-0.3906,0.4167,800,Encoding,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.66646760000003,None,62.66646760000003,None,None,62.66646760000003,None,63.483114900000146,None,63.483114900000146,None,b,0.5732868999998573,63.483114900000146,None,66.49969850000025,None,66.49969850000025,None,66.49969850000025,None,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1132,TerKepEsz-Encoding_MR,2020.1.3,59.99401259756743,
EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-0.0781,-0.1389,3000,Encoding,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.48300890000019,None,67.48300890000019,None,None,67.48300890000019,None,70.49962240000013,None,70.49962240000013,None,b,0.7249569999999039,70.49962240000013,None,73.51619789999995,None,73.51619789999995,None,73.51619789999995,None,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1132,TerKepEsz-Encoding_MR,2020.1.3,59.99401259756743,
EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,-0.2344,-0.4167,800,Encoding,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.49950000000035,None,74.49950000000035,None,None,74.49950000000035,None,75.31616450000001,None,75.31616450000001,None,b,0.6683459000000767,75.31616450000001,None,78.33274650000021,None,78.33274650000021,None,78.33274650000021,None,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1132,TerKepEsz-Encoding_MR,2020.1.3,59.99401259756743,
EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-0.0781,0.4167,1500,Encoding,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.31607080000003,None,79.31607080000003,None,None,79.31607080000003,None,80.83269210000026,None,80.83269210000026,None,c,1.215729200000169,80.83269210000026,None,83.84928209999998,None,83.84928209999998,None,83.84928209999998,None,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1132,TerKepEsz-Encoding_MR,2020.1.3,59.99401259756743,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.8325874000002,None,d,2.488498900000195,85.8159042000002,None,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1132,TerKepEsz-Encoding_MR,2020.1.3,59.99401259756743,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8159042000002,None,88.33264529999997,None,['s'],[2.875767900000028],88.33264529999997,None,77.92964230000007,26.228940599998623,91.23254080000015,None,None,91.23254080000015,None,3.0471700999996756,,,,,,,,
