Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_practice_fx_interior.started,enc_practice_fx_interior.stopped,enc_practice_fx_cross.started,enc_practice_fx_cross.stopped,enc_practice_fx_key.keys,enc_practice_fx_key.started,enc_practice_fx_key.stopped,enc_practice_trial_interior.started,enc_practice_trial_interior.stopped,enc_practice_trial_main_image.started,enc_practice_trial_main_image.stopped,enc_practice_trial_key.keys,enc_practice_trial_key.rt,enc_practice_trial_key.started,enc_practice_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,trigger_time,trigger,start_enc_run_text.started,start_enc_run_text.stopped,start_enc_run_trigger.keys,start_enc_run_trigger.started,start_enc_run_trigger.stopped,loop_start_time,fx_start_time,Azonosító kód,Nem,Csoport,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.390560399999686,None,19.826947499999733,None,19.826947499999733,None,d,1.095356300000276,24.793510999999853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1134,TerKepEsz-Encoding_MR,2020.1.3,59.99480444993275,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.793510999999853,None,25.910181700000066,None,25.910181700000066,None,d,0.5558327000003374,30.893360199999734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1134,TerKepEsz-Encoding_MR,2020.1.3,59.99480444993275,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.893360199999734,None,31.476702099999784,None,d,0.6931703000000198,36.459876500000064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1134,TerKepEsz-Encoding_MR,2020.1.3,59.99480444993275,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/166a.jpg,-0.0781,0.4167,1500,Encoding,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.459876500000064,None,37.17656450000004,None,38.20989529999997,None,38.20989529999997,None,None,38.20989529999997,None,39.7427918999997,None,39.7427918999997,None,c,1.6900574999999662,39.7427918999997,None,42.7593809,None,42.7593809,None,42.7593809,None,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1134,TerKepEsz-Encoding_MR,2020.1.3,59.99480444993275,
EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,0.2344,0.4167,500,Encoding,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.726044699999875,None,43.726044699999875,None,None,43.726044699999875,None,44.24268529999972,None,44.24268529999972,None,b,1.0460572000001775,44.24268529999972,None,47.25927359999969,None,47.25927359999969,None,47.25927359999969,None,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1134,TerKepEsz-Encoding_MR,2020.1.3,59.99480444993275,
EncodingPractice,OBJ,FOIL,1,stimuli/fractals/149a.jpg,0.2344,-0.1389,1000,Encoding,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.24258639999971,None,48.24258639999971,None,None,48.24258639999971,None,49.25922069999979,None,49.25922069999979,None,b,0.3736196999998356,49.25922069999979,None,52.25914999999986,None,52.25914999999986,None,52.25914999999986,None,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1134,TerKepEsz-Encoding_MR,2020.1.3,59.99480444993275,
EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,0.2344,-0.1389,1000,Encoding,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.25911769999993,None,53.25911769999993,None,None,53.25911769999993,None,54.27576859999999,None,54.27576859999999,None,c,0.7010457000001225,54.27576859999999,None,57.292374599999675,None,57.292374599999675,None,57.292374599999675,None,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1134,TerKepEsz-Encoding_MR,2020.1.3,59.99480444993275,
EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,-0.3906,0.4167,5000,Encoding,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.275708699999996,None,58.275708699999996,None,None,58.275708699999996,None,63.29235019999987,None,63.29235019999987,None,c,0.8685167000003275,63.29235019999987,None,66.30900219999967,None,66.30900219999967,None,66.30900219999967,None,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1134,TerKepEsz-Encoding_MR,2020.1.3,59.99480444993275,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,-0.3906,0.4167,800,Encoding,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.29225129999986,None,67.29225129999986,None,None,67.29225129999986,None,68.10890599999993,None,68.10890599999993,None,None,,68.10890599999993,None,71.12552749999986,None,71.12552749999986,None,71.12552749999986,None,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1134,TerKepEsz-Encoding_MR,2020.1.3,59.99480444993275,
EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-0.0781,-0.1389,3000,Encoding,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.10880719999977,None,72.10880719999977,None,None,72.10880719999977,None,75.12541059999967,None,75.12541059999967,None,c,0.5154024999997091,75.12541059999967,None,78.14200709999977,None,78.14200709999977,None,78.14200709999977,None,,,,,,,,,,,,,,,,,,,,,,,,000000,n,i,2020_Aug_28_1134,TerKepEsz-Encoding_MR,2020.1.3,59.99480444993275,
