TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,rec_practice_blocks.thisRepN,rec_practice_blocks.thisTrialN,rec_practice_blocks.thisN,rec_practice_blocks.thisIndex,rec_runs.thisRepN,rec_runs.thisTrialN,rec_runs.thisN,rec_runs.thisIndex,rec_blocks.thisRepN,rec_blocks.thisTrialN,rec_blocks.thisN,rec_blocks.thisIndex,rec_trials.thisRepN,rec_trials.thisTrialN,rec_trials.thisN,rec_trials.thisIndex,start_recognition_text.started,start_recognition_text.stopped,rec_instructions_1_text.started,rec_instructions_1_text.stopped,rec_instructions_1_key.keys,rec_instructions_1_key.rt,rec_instructions_1_key.started,rec_instructions_1_key.stopped,rec_instructions_1_continue.started,rec_instructions_1_continue.stopped,rec_instructions2_text.started,rec_instructions2_text.stopped,rec_instructions_2_key.keys,rec_instructions_2_key.rt,rec_instructions_2_key.started,rec_instructions_2_key.stopped,rec_instructions_2_continue.started,rec_instructions_2_continue.stopped,rec_instruction_2_title.started,rec_instruction_2_title.stopped,rec_instrauction_3_text.started,rec_instrauction_3_text.stopped,rec_instructions_3_key.keys,rec_instructions_3_key.rt,rec_instructions_3_key.started,rec_instructions_3_key.stopped,rec_instructions_3_continue.started,rec_instructions_3_continue.stopped,rec_instruction_3_title.started,rec_instruction_3_title.stopped,rec_instructions_4_text.started,rec_instructions_4_text.stopped,rec_instructions_4_key.keys,rec_instructions_4_key.rt,rec_instructions_4_key.started,rec_instructions_4_key.stopped,rec_instructions_4_continue.started,rec_instructions_4_continue.stopped,start_practice_text.started,start_practice_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,trigger_time,start_MR_text.started,start_MR_text.stopped,start_MR_trigger.keys,start_MR_trigger.rt,start_MR_trigger.started,start_MR_trigger.stopped,triggers,start_rec_run_text.started,start_rec_run_text.stopped,start_rec_block_text.started,start_rec_block_text.stopped,loop_start_time,fx_start_time,rec_fx_interior.started,rec_fx_interior.stopped,rec_fx_cross.started,rec_fx_cross.stopped,rec_fx_key.keys,rec_fx_key.started,rec_fx_key.stopped,rec_fx_text_block.started,rec_fx_text_block.stopped,rec_fx_instructions_text.started,rec_fx_instructions_text.stopped,trial_start_time,stimulus_start_time,rec_trial_interior.started,rec_trial_interior.stopped,rec_trial_main_image.started,rec_trial_main_image.stopped,rec_trial_key.keys,rec_trial_key.rt,rec_trial_key.started,rec_trial_key.stopped,rec_trial_text_block.started,rec_trial_text_block.stopped,rec_trial_instructions_text.started,rec_trial_instructions_text.stopped,rec_fx_key.rt,end_rec_run_text.started,end_rec_run_text.stopped,end_rec_run_key.keys,end_rec_run_key.rt,end_rec_run_key.started,end_rec_run_key.stopped,end_experiment_text.started,end_experiment_text.stopped,end_experiment_key.keys,end_experiment_key.rt,end_experiment_key.started,end_experiment_key.stopped,ID,practice,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.15790879999986,None,14.10550669999975,None,d,1.407299299999977,19.07205089999934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.07205089999934,None,20.505347599999368,None,d,3.230825800000275,25.488560799999505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.488560799999505,None,20.505347599999368,None,28.73848259999977,None,d,5.64557909999985,33.721731499999805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.721731499999805,None,28.73848259999977,None,39.388242799999716,None,d,1.0117870999993102,40.37156329999925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.37156329999925,None,41.40483959999983,None,42.40481499999987,None,d,3.4991438000006383,43.3881238999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3881238999993,None,36.45720650000021,46.9047458999994,None,s,1.62258490000022,46.9047458999994,None,0.0023660999995627208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2483503999992536,48.554660499999954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
1,500,None,1,OBJ,FOIL,stimuli/fractals/131b.jpg,0.234375,-0.1388888888888889,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.784768699999404,,,49.554640199999994,None,2.5370076999997764,2.5499740999994174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
1,500,None,1,OBJ,FOIL,stimuli/fractals/131b.jpg,0.234375,-0.1388888888888889,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3185057000000597,,,,,,,51.08794200000011,None,51.08794200000011,None,None,51.08794200000011,None,51.08794200000011,None,51.08794200000011,None,3.09206069999982,3.116965799999889,,,,,,,,,,,,,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
1,500,None,1,OBJ,FOIL,stimuli/fractals/131b.jpg,0.234375,-0.1388888888888889,0.0,FOIL,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.65458699999999,None,51.65458699999999,None,c,1.192925400000604,51.65458699999999,None,51.65458699999999,None,51.65458699999999,None,,,,,,,,,,,,,,111111,0,2020_Sep_03_1310,terkepesz-recognition,2020.1.3,60.0079810614542,
