TrialIndex,TrialType,StimType,FX/IMG,Response,RT,TimePassed
1,OBJ,FOIL,IMG,j,2.382554,5.432502
2,OBJ,LURE,IMG,k,2.284033,11.383082
3,OBJ,TARGET,IMG,j,2.383875,18.516312
4,OBJ,FOIL,IMG,k,1.683496,23.882478
5,OBJ,TARGET,IMG,j,2.283120,29.515654
6,OBJ,FOIL,IMG,k,2.099508,36.381950
7,OBJ,TARGET,IMG,k,1.966842,41.282073
8,OBJ,TARGET,IMG,f,1.899924,47.248213
9,OBJ,TARGET,IMG,f,2.715922,54.081318
10,OBJ,FOIL,IMG,j,1.916946,63.331287
11,OBJ,LURE,IMG,k,1.999784,69.448011
12,OBJ,FOIL,IMG,f,2.399683,75.914179
13,OBJ,LURE,IMG,k,2.883456,83.447556
14,OBJ,FOIL,IMG,k,1.500162,88.097693
15,OBJ,LURE,IMG,f,2.066626,93.713424
16,OBJ,LURE,IMG,f,1.716378,98.379983
17,OBJ,TARGET,IMG,f,2.133242,103.330774
18,OBJ,FOIL,IMG,k,1.699404,109.946732
19,LOC,TARGET,IMG,k,3.633241,119.929991
20,LOC,FOIL,IMG,f,2.066462,123.396749
21,LOC,LURE,IMG,f,2.483321,130.862756
22,LOC,TARGET,IMG,f,2.567181,135.963246
23,LOC,TARGET,IMG,k,2.316823,140.746489
24,LOC,TARGET,IMG,f,2.349703,145.828831
25,LOC,FOIL,IMG,f,2.449455,154.962428
26,LOC,TARGET,IMG,k,2.983084,160.045893
27,LOC,FOIL,IMG,k,3.116681,165.228974
28,LOC,LURE,IMG,f,3.049208,171.178414
29,LOC,FOIL,IMG,f,3.500039,183.678526
30,LOC,FOIL,IMG,j,3.350310,190.578633
31,LOC,FOIL,IMG,f,3.633580,195.411435
32,LOC,FOIL,IMG,k,2.999507,200.794514
33,LOC,LURE,IMG,j,3.232349,206.077351
34,LOC,TARGET,IMG,j,2.266128,210.160697
35,LOC,LURE,IMG,f,2.333780,215.277979
36,LOC,FOIL,IMG,k,2.217058,221.177380
37,OBJ,FOIL,IMG,f,2.900444,228.894021
38,OBJ,FOIL,IMG,j,3.000113,239.027078
39,OBJ,LURE,IMG,j,2.616109,244.693499
40,OBJ,TARGET,IMG,f,2.317054,249.427075
41,OBJ,TARGET,IMG,f,2.550298,256.676814
42,OBJ,LURE,IMG,k,2.066381,261.242979
43,OBJ,TARGET,IMG,k,2.883240,271.092635
44,OBJ,TARGET,IMG,f,2.016440,275.242472
45,OBJ,TARGET,IMG,f,2.432511,282.692080
46,OBJ,TARGET,IMG,k,2.566301,287.875384
47,OBJ,LURE,IMG,f,2.266420,292.625573
48,OBJ,LURE,IMG,k,2.766778,300.175568
49,OBJ,FOIL,IMG,k,3.166465,306.625724
50,OBJ,FOIL,IMG,k,1.649602,312.158552
51,OBJ,LURE,IMG,f,2.299832,317.858284
52,OBJ,LURE,IMG,f,1.882844,323.474362
53,OBJ,LURE,IMG,f,1.683513,330.308374
54,OBJ,LURE,IMG,j,2.349696,337.007795
55,LOC,LURE,IMG,f,1.866223,349.790843
56,LOC,LURE,IMG,k,3.616714,359.591023
57,LOC,LURE,IMG,f,1.983659,363.007819
58,LOC,FOIL,IMG,k,2.550168,372.607187
59,LOC,FOIL,IMG,f,1.916945,378.990197
60,LOC,LURE,IMG,j,2.517315,384.607240
61,LOC,TARGET,IMG,f,1.800148,388.923634
62,LOC,TARGET,IMG,f,2.932417,395.089484
63,LOC,FOIL,IMG,j,2.999271,400.206173
65,LOC,LURE,IMG,f,2.716748,410.989650
66,LOC,TARGET,IMG,f,1.866132,418.172594
67,LOC,LURE,IMG,f,3.050146,425.405851
68,LOC,LURE,IMG,j,2.249968,431.639308
69,LOC,LURE,IMG,j,1.932843,435.872172
70,LOC,TARGET,IMG,f,1.450111,440.421999
71,LOC,TARGET,IMG,j,2.315952,447.304779
72,LOC,FOIL,IMG,f,1.916835,451.938411
73,OBJ,LURE,IMG,f,2.782484,460.854461
74,OBJ,FOIL,IMG,k,1.417143,464.038211
75,OBJ,TARGET,IMG,j,3.116593,470.754189
76,OBJ,TARGET,IMG,f,1.383169,477.054354
77,OBJ,FOIL,IMG,j,3.416903,484.121076
78,OBJ,FOIL,IMG,j,2.950091,489.688122
79,OBJ,LURE,IMG,j,2.517157,494.287896
80,OBJ,FOIL,IMG,k,2.150260,500.954264
81,OBJ,LURE,IMG,j,2.265926,510.103416
82,OBJ,FOIL,IMG,j,2.217394,517.104009
83,OBJ,TARGET,IMG,f,1.932996,524.853478
84,OBJ,TARGET,IMG,j,2.349991,531.319468
85,OBJ,LURE,IMG,f,2.284079,539.286772
86,OBJ,FOIL,IMG,j,1.800159,544.836218
87,OBJ,LURE,IMG,f,1.817123,549.886468
88,OBJ,TARGET,IMG,f,1.300473,561.402754
89,OBJ,FOIL,IMG,k,2.499261,569.635166
90,OBJ,TARGET,IMG,f,1.433160,575.602231
91,LOC,TARGET,IMG,f,1.417192,582.635415
92,LOC,FOIL,IMG,f,1.800323,591.035075
93,LOC,FOIL,IMG,f,3.116766,597.368331
94,LOC,TARGET,IMG,k,2.849564,604.134421
95,LOC,LURE,IMG,k,1.583811,607.901542
96,LOC,LURE,IMG,f,1.999824,613.334319
97,LOC,TARGET,IMG,j,2.883255,619.267419
98,LOC,FOIL,IMG,f,2.200247,623.601046
99,LOC,FOIL,IMG,k,2.816585,632.234000
99,LOC,FOIL,FX,f,4.266811,633.684226
100,LOC,LURE,IMG,j,3.000106,644.450676
101,LOC,LURE,IMG,f,1.783217,653.267112
102,LOC,TARGET,IMG,f,2.216989,658.233808
103,LOC,TARGET,IMG,f,2.999961,665.049571
104,LOC,LURE,IMG,j,2.900225,671.983032
105,LOC,FOIL,IMG,j,2.299816,678.415965
106,LOC,FOIL,IMG,f,1.949778,683.082430
107,LOC,FOIL,IMG,f,1.566760,687.732981
108,LOC,FOIL,IMG,f,1.616595,692.332683
109,OBJ,LURE,IMG,f,2.599145,701.381903
110,OBJ,TARGET,IMG,f,1.499962,706.315769
111,OBJ,TARGET,IMG,j,1.983060,711.832353
112,OBJ,FOIL,IMG,k,2.867487,717.782415
113,OBJ,FOIL,IMG,j,2.083433,723.048144
114,OBJ,TARGET,IMG,f,2.916396,729.914968
115,OBJ,TARGET,IMG,f,2.465980,735.514553
116,OBJ,TARGET,IMG,f,1.299512,738.897643
117,OBJ,LURE,IMG,j,2.332976,747.981023
118,OBJ,TARGET,IMG,f,1.499124,753.197343
119,OBJ,FOIL,IMG,j,2.533414,759.280739
120,OBJ,LURE,IMG,f,1.699890,763.480911
121,OBJ,FOIL,IMG,k,2.433156,771.264222
123,OBJ,FOIL,IMG,j,2.600233,784.513776
124,OBJ,LURE,IMG,f,1.599861,789.546659
125,OBJ,LURE,IMG,j,1.917024,794.897022
126,OBJ,LURE,IMG,f,1.833097,799.863258
127,LOC,FOIL,IMG,f,2.600032,807.679327
128,LOC,TARGET,IMG,f,1.899905,812.012746
129,LOC,TARGET,IMG,j,2.399566,818.529305
130,LOC,TARGET,IMG,f,2.899230,825.078790
131,LOC,LURE,IMG,f,2.099373,833.328728
132,LOC,FOIL,IMG,j,2.699771,839.978969
133,LOC,TARGET,IMG,f,1.549843,843.878513
134,LOC,FOIL,IMG,f,2.483390,852.845603
135,LOC,TARGET,IMG,f,1.683516,858.095682
136,LOC,TARGET,IMG,j,3.200486,864.662136
137,LOC,FOIL,IMG,f,1.516106,868.994637
