TrialIndex,Order,StimType,FX/IMG,ImagePreseneted,Xcoordinate,Ycoordinate,Response,RT, TimePassed
1,1,OLP,IMG,Stimuli/Fractals/36c.jpg,212.132034,212.132034,f,1.132914,3.166482
2,1,OLP,IMG,Stimuli/Fractals/69a.jpg,212.132034,-212.132034,j,1.733299,12.833095
3,1,LLP,IMG,Stimuli/Fractals/103c.jpg,212.132034,212.132034,j,1.333418,17.482837
4,1,ERP,IMG,Stimuli/Fractals/125a.jpg,212.132034,-212.132034,j,1.483018,21.699115
5,2,OLP,IMG,Stimuli/Fractals/36b.jpg,212.132034,212.132034,f,0.950467,29.199349
6,2,OLP,IMG,Stimuli/Fractals/69b.jpg,212.132034,-212.132034,j,1.865983,36.148702
7,2,ERP,IMG,Stimuli/Fractals/125a.jpg,212.132034,-212.132034,j,1.682536,45.015045
8,1,ERP,IMG,Stimuli/Fractals/10c.jpg,-212.132034,-212.132034,f,1.216782,49.614884
9,2,LLP,IMG,Stimuli/Fractals/103c.jpg,300.000000,0.000000,j,1.549841,54.981472
10,1,LLP,IMG,Stimuli/Fractals/81b.jpg,212.132034,-212.132034,j,0.932603,60.431093
11,1,ERP,IMG,Stimuli/Fractals/108c.jpg,0.000000,300.000000,f,0.800835,65.331939
11,1,ERP,IMG,Stimuli/Fractals/108c.jpg,0.000000,300.000000,f,0.883663,65.414771
12,1,OLP,IMG,Stimuli/Fractals/135c.jpg,-212.132034,-212.132034,f,1.683473,71.281363
13,2,ERP,IMG,Stimuli/Fractals/108c.jpg,0.000000,300.000000,f,1.767308,76.414886
14,2,ERP,IMG,Stimuli/Fractals/10c.jpg,-212.132034,-212.132034,j,1.549487,79.747585
15,2,LLP,IMG,Stimuli/Fractals/81b.jpg,300.000000,0.000000,j,1.417363,83.164639
16,1,LLP,IMG,Stimuli/Fractals/21b.jpg,-212.132034,-212.132034,j,1.249613,87.047361
17,2,OLP,IMG,Stimuli/Fractals/135a.jpg,-212.132034,-212.132034,j,0.899603,92.746958
18,1,OLP,IMG,Stimuli/Fractals/98a.jpg,0.000000,300.000000,j,0.799839,99.713727
19,2,LLP,IMG,Stimuli/Fractals/21b.jpg,-300.000000,0.000000,f,1.467111,104.430503
20,2,OLP,IMG,Stimuli/Fractals/98c.jpg,0.000000,300.000000,j,1.117051,109.130407
21,0,BL,IMG,Stimuli/Fractals/92b.jpg,212.132034,212.132034,f,1.816119,117.863151
22,1,ERP,IMG,Stimuli/Fractals/111b.jpg,-300.000000,0.000000,f,1.266736,121.380169
23,1,LLP,IMG,Stimuli/Fractals/114c.jpg,212.132034,-212.132034,j,1.799318,126.946282
24,1,ERP,IMG,Stimuli/Fractals/127c.jpg,212.132034,-212.132034,f,0.900566,130.096845
25,1,ERP,IMG,Stimuli/Fractals/71a.jpg,-300.000000,0.000000,f,0.766935,135.013113
26,2,ERP,IMG,Stimuli/Fractals/111b.jpg,-300.000000,0.000000,j,0.950471,139.213106
27,2,ERP,IMG,Stimuli/Fractals/127c.jpg,212.132034,-212.132034,j,1.084081,147.396264
28,1,OLP,IMG,Stimuli/Fractals/142b.jpg,0.000000,-300.000000,j,0.966392,152.345859
29,2,LLP,IMG,Stimuli/Fractals/114c.jpg,0.000000,-300.000000,j,2.016630,160.429389
30,1,OLP,IMG,Stimuli/Fractals/104c.jpg,300.000000,0.000000,j,1.066283,163.561848
31,2,ERP,IMG,Stimuli/Fractals/71a.jpg,-300.000000,0.000000,f,0.749969,169.278638
32,2,OLP,IMG,Stimuli/Fractals/142c.jpg,0.000000,-300.000000,j,1.100012,176.678581
33,2,OLP,IMG,Stimuli/Fractals/104b.jpg,300.000000,0.000000,j,1.133077,180.761417
34,1,ERP,IMG,Stimuli/Fractals/57b.jpg,0.000000,300.000000,j,1.632609,187.311116
35,1,OLP,IMG,Stimuli/Fractals/75a.jpg,-212.132034,212.132034,f,1.417421,197.161846
36,1,LLP,IMG,Stimuli/Fractals/73a.jpg,-212.132034,212.132034,f,0.799837,200.594183
37,2,OLP,IMG,Stimuli/Fractals/75c.jpg,-212.132034,212.132034,f,1.033151,204.877620
38,1,LLP,IMG,Stimuli/Fractals/1b.jpg,212.132034,-212.132034,j,1.134006,211.044749
39,2,ERP,IMG,Stimuli/Fractals/57b.jpg,0.000000,300.000000,f,1.850026,216.777459
40,2,LLP,IMG,Stimuli/Fractals/1b.jpg,0.000000,-300.000000,j,2.049472,221.027087
41,2,LLP,IMG,Stimuli/Fractals/73a.jpg,0.000000,300.000000,f,0.849804,225.877228
42,0,BL,IMG,Stimuli/Fractals/92b.jpg,212.132034,212.132034,j,2.066464,233.143817
43,1,OLP,IMG,Stimuli/Fractals/137c.jpg,0.000000,-300.000000,f,0.933540,237.060528
44,1,OLP,IMG,Stimuli/Fractals/17a.jpg,-212.132034,-212.132034,f,1.867039,243.060616
45,1,ERP,IMG,Stimuli/Fractals/141c.jpg,-300.000000,0.000000,f,0.749969,245.993434
46,2,OLP,IMG,Stimuli/Fractals/137b.jpg,0.000000,-300.000000,f,2.416540,254.709913
47,1,LLP,IMG,Stimuli/Fractals/12c.jpg,0.000000,-300.000000,f,1.199768,257.543138
48,1,ERP,IMG,Stimuli/Fractals/26a.jpg,-212.132034,212.132034,f,1.333411,261.726472
49,2,LLP,IMG,Stimuli/Fractals/12c.jpg,-212.132034,-212.132034,f,0.866660,265.293097
50,2,OLP,IMG,Stimuli/Fractals/17c.jpg,-212.132034,-212.132034,f,1.682505,270.158902
51,2,ERP,IMG,Stimuli/Fractals/141c.jpg,-300.000000,0.000000,f,0.733068,275.259541
52,2,ERP,IMG,Stimuli/Fractals/26a.jpg,-212.132034,212.132034,f,1.182867,281.759143
53,1,OLP,IMG,Stimuli/Fractals/22c.jpg,-300.000000,0.000000,f,1.067132,285.192677
54,1,OLP,IMG,Stimuli/Fractals/143c.jpg,300.000000,0.000000,j,0.815802,289.008441
55,2,OLP,IMG,Stimuli/Fractals/22b.jpg,-300.000000,0.000000,f,1.216731,293.458439
56,1,LLP,IMG,Stimuli/Fractals/133a.jpg,212.132034,-212.132034,j,1.267627,297.559203
58,1,ERP,IMG,Stimuli/Fractals/68c.jpg,212.132034,-212.132034,f,1.682402,306.558114
59,2,OLP,IMG,Stimuli/Fractals/143a.jpg,300.000000,0.000000,j,0.916452,309.341453
60,2,ERP,IMG,Stimuli/Fractals/93c.jpg,-212.132034,-212.132034,f,1.333338,318.808247
60,2,ERP,FX,Stimuli/Fractals/93c.jpg,-212.132034,-212.132034,f,3.216300,320.691211
61,2,LLP,IMG,Stimuli/Fractals/133a.jpg,300.000000,0.000000,f,1.417216,329.924654
62,2,ERP,IMG,Stimuli/Fractals/68c.jpg,212.132034,-212.132034,j,0.717058,339.257783
63,0,BL,IMG,Stimuli/Fractals/92b.jpg,212.132034,212.132034,j,1.116929,343.690921
64,1,OLP,IMG,Stimuli/Fractals/38b.jpg,212.132034,212.132034,f,1.166763,350.790664
65,1,OLP,IMG,Stimuli/Fractals/54a.jpg,212.132034,212.132034,f,0.799846,355.490335
66,2,OLP,IMG,Stimuli/Fractals/38c.jpg,212.132034,212.132034,f,1.116998,362.857407
67,2,OLP,IMG,Stimuli/Fractals/54c.jpg,212.132034,212.132034,f,0.983401,366.773734
68,1,OLP,IMG,Stimuli/Fractals/74b.jpg,300.000000,0.000000,f,1.333482,373.173194
69,1,LLP,IMG,Stimuli/Fractals/97c.jpg,212.132034,212.132034,f,1.367328,377.273612
70,1,OLP,IMG,Stimuli/Fractals/51b.jpg,-212.132034,212.132034,f,1.199799,381.156643
71,1,ERP,IMG,Stimuli/Fractals/79b.jpg,300.000000,0.000000,j,1.133006,384.639386
72,2,LLP,IMG,Stimuli/Fractals/97c.jpg,0.000000,300.000000,f,1.533346,395.089069
73,2,OLP,IMG,Stimuli/Fractals/74c.jpg,300.000000,0.000000,f,1.699433,402.272300
74,2,OLP,IMG,Stimuli/Fractals/51a.jpg,-212.132034,212.132034,f,1.299534,406.939000
75,1,LLP,IMG,Stimuli/Fractals/140c.jpg,-212.132034,-212.132034,j,1.116997,411.822379
76,1,OLP,IMG,Stimuli/Fractals/23b.jpg,-300.000000,0.000000,j,1.066123,416.822204
77,2,ERP,IMG,Stimuli/Fractals/79b.jpg,300.000000,0.000000,f,1.817242,421.622485
78,1,OLP,IMG,Stimuli/Fractals/95b.jpg,212.132034,212.132034,j,1.566281,431.388195
79,1,ERP,IMG,Stimuli/Fractals/4b.jpg,-300.000000,0.000000,f,2.050665,435.905408
80,2,OLP,IMG,Stimuli/Fractals/23c.jpg,-300.000000,0.000000,j,0.782864,438.704841
81,2,LLP,IMG,Stimuli/Fractals/140c.jpg,-300.000000,0.000000,j,0.950789,442.921924
82,2,ERP,IMG,Stimuli/Fractals/4b.jpg,-300.000000,0.000000,f,1.017332,450.005127
83,2,OLP,IMG,Stimuli/Fractals/95c.jpg,212.132034,212.132034,j,0.717117,453.754962
84,0,BL,IMG,Stimuli/Fractals/92b.jpg,212.132034,212.132034,j,0.700107,459.787755
84,0,BL,FX,Stimuli/Fractals/92b.jpg,212.132034,212.132034,right,25.032668,484.120315
85,1,LLP,IMG,Stimuli/Fractals/115c.jpg,0.000000,300.000000,j,1.515880,486.070083
86,1,OLP,IMG,Stimuli/Fractals/14b.jpg,0.000000,-300.000000,f,1.549795,492.153611
87,2,LLP,IMG,Stimuli/Fractals/115c.jpg,-212.132034,212.132034,f,1.084058,496.737286
88,1,OLP,IMG,Stimuli/Fractals/110c.jpg,300.000000,0.000000,f,1.483251,503.203484
89,2,OLP,IMG,Stimuli/Fractals/14a.jpg,0.000000,-300.000000,j,0.999335,508.769701
90,2,OLP,IMG,Stimuli/Fractals/110b.jpg,300.000000,0.000000,f,0.800745,515.620031
91,1,ERP,IMG,Stimuli/Fractals/109b.jpg,212.132034,212.132034,f,1.333375,522.203106
92,1,ERP,IMG,Stimuli/Fractals/40b.jpg,0.000000,-300.000000,f,1.417185,527.352883
93,1,OLP,IMG,Stimuli/Fractals/39b.jpg,0.000000,300.000000,f,1.716365,538.702879
94,1,LLP,IMG,Stimuli/Fractals/58a.jpg,212.132034,-212.132034,j,1.016347,542.068747
95,2,ERP,IMG,Stimuli/Fractals/109b.jpg,212.132034,212.132034,f,1.133951,545.735842
96,2,ERP,IMG,Stimuli/Fractals/40b.jpg,0.000000,-300.000000,f,0.966449,550.618831
97,1,LLP,IMG,Stimuli/Fractals/105a.jpg,-212.132034,212.132034,f,1.133079,555.852033
98,1,ERP,IMG,Stimuli/Fractals/128c.jpg,212.132034,-212.132034,f,1.949722,565.718246
99,2,OLP,IMG,Stimuli/Fractals/39a.jpg,0.000000,300.000000,j,1.816513,572.651719
100,2,LLP,IMG,Stimuli/Fractals/58a.jpg,0.000000,-300.000000,j,2.500309,579.384751
101,1,LLP,IMG,Stimuli/Fractals/5c.jpg,-212.132034,212.132034,j,1.300499,587.251385
102,2,LLP,IMG,Stimuli/Fractals/105a.jpg,-300.000000,0.000000,j,1.182889,592.184265
103,2,ERP,IMG,Stimuli/Fractals/128c.jpg,212.132034,-212.132034,f,0.866660,595.917189
104,2,LLP,IMG,Stimuli/Fractals/5c.jpg,-300.000000,0.000000,f,0.950435,602.050874
105,0,BL,IMG,Stimuli/Fractals/92b.jpg,212.132034,212.132034,j,0.933529,606.084137
106,1,ERP,IMG,Stimuli/Fractals/100a.jpg,-300.000000,0.000000,j,1.666725,610.884355
107,1,OLP,IMG,Stimuli/Fractals/107a.jpg,0.000000,-300.000000,j,0.900546,614.167507
108,1,LLP,IMG,Stimuli/Fractals/28b.jpg,-212.132034,-212.132034,f,1.399192,622.699725
109,1,OLP,IMG,Stimuli/Fractals/87a.jpg,-300.000000,0.000000,j,1.216781,627.583648
110,1,ERP,IMG,Stimuli/Fractals/32c.jpg,300.000000,0.000000,j,1.183744,631.617071
111,2,ERP,IMG,Stimuli/Fractals/100a.jpg,-300.000000,0.000000,j,0.849683,636.316492
112,2,OLP,IMG,Stimuli/Fractals/87c.jpg,-300.000000,0.000000,j,1.817312,645.333384
113,2,OLP,IMG,Stimuli/Fractals/107b.jpg,0.000000,-300.000000,j,0.849705,648.415994
114,2,LLP,IMG,Stimuli/Fractals/28b.jpg,-300.000000,0.000000,f,1.149913,652.766384
115,2,ERP,IMG,Stimuli/Fractals/32c.jpg,300.000000,0.000000,j,1.132978,657.798911
116,1,ERP,IMG,Stimuli/Fractals/139a.jpg,0.000000,300.000000,f,1.132925,665.865689
117,1,LLP,IMG,Stimuli/Fractals/117c.jpg,0.000000,300.000000,j,0.982309,674.781740
118,1,LLP,IMG,Stimuli/Fractals/76c.jpg,0.000000,300.000000,j,0.766932,679.615887
119,2,LLP,IMG,Stimuli/Fractals/117c.jpg,212.132034,212.132034,f,1.099240,683.481708
120,2,ERP,IMG,Stimuli/Fractals/139a.jpg,0.000000,300.000000,j,0.799820,687.231644
121,1,LLP,IMG,Stimuli/Fractals/126b.jpg,0.000000,-300.000000,j,0.883515,693.381576
122,2,LLP,IMG,Stimuli/Fractals/76c.jpg,212.132034,212.132034,j,1.367379,697.898551
123,1,ERP,IMG,Stimuli/Fractals/35c.jpg,0.000000,300.000000,f,1.000292,702.598639
124,2,LLP,IMG,Stimuli/Fractals/126b.jpg,-212.132034,-212.132034,f,1.000338,707.648124
125,2,ERP,IMG,Stimuli/Fractals/35c.jpg,0.000000,300.000000,f,1.199772,711.880734
126,0,BL,IMG,Stimuli/Fractals/92b.jpg,212.132034,212.132034,j,0.950469,715.681592
127,1,ERP,IMG,Stimuli/Fractals/130c.jpg,-212.132034,212.132034,j,0.933420,719.231413
128,1,OLP,IMG,Stimuli/Fractals/90a.jpg,-212.132034,212.132034,j,1.400240,725.747694
129,2,ERP,IMG,Stimuli/Fractals/130c.jpg,-212.132034,212.132034,j,2.382504,731.780521
130,1,LLP,IMG,Stimuli/Fractals/25a.jpg,212.132034,-212.132034,f,0.983381,735.414157
131,1,LLP,IMG,Stimuli/Fractals/106a.jpg,-212.132034,212.132034,j,1.383280,739.880300
132,2,OLP,IMG,Stimuli/Fractals/90c.jpg,-212.132034,212.132034,j,1.133020,743.696753
133,2,LLP,IMG,Stimuli/Fractals/25a.jpg,0.000000,-300.000000,f,0.833750,747.430763
134,1,ERP,IMG,Stimuli/Fractals/61c.jpg,212.132034,212.132034,f,1.066187,753.713231
135,2,LLP,IMG,Stimuli/Fractals/106a.jpg,0.000000,300.000000,j,1.316488,758.013685
136,2,ERP,IMG,Stimuli/Fractals/61c.jpg,212.132034,212.132034,f,0.699108,763.446118
137,1,ERP,IMG,Stimuli/Fractals/55b.jpg,212.132034,212.132034,j,0.999483,768.796256
138,1,LLP,IMG,Stimuli/Fractals/11c.jpg,300.000000,0.000000,f,0.999307,772.845948
139,1,LLP,IMG,Stimuli/Fractals/45c.jpg,-300.000000,0.000000,j,1.850028,778.746176
140,1,OLP,IMG,Stimuli/Fractals/145c.jpg,212.132034,-212.132034,f,1.400262,785.346329
141,1,LLP,IMG,Stimuli/Fractals/7b.jpg,0.000000,300.000000,j,1.316462,789.312550
142,2,LLP,IMG,Stimuli/Fractals/45c.jpg,-212.132034,-212.132034,f,0.949444,794.995340
143,2,ERP,IMG,Stimuli/Fractals/55b.jpg,212.132034,212.132034,j,0.833725,799.912335
144,2,LLP,IMG,Stimuli/Fractals/11c.jpg,212.132034,-212.132034,f,0.949436,805.061648
145,2,OLP,IMG,Stimuli/Fractals/145b.jpg,212.132034,-212.132034,f,0.900570,811.062121
146,2,LLP,IMG,Stimuli/Fractals/7b.jpg,212.132034,212.132034,j,1.033268,814.728370
147,0,BL,IMG,Stimuli/Fractals/92b.jpg,212.132034,212.132034,j,0.833805,820.578719
148,1,LLP,IMG,Stimuli/Fractals/124a.jpg,300.000000,0.000000,j,1.299501,825.094636
149,1,OLP,IMG,Stimuli/Fractals/15c.jpg,-212.132034,-212.132034,f,0.683209,828.027847
150,1,ERP,IMG,Stimuli/Fractals/129c.jpg,-212.132034,-212.132034,f,1.417164,832.811588
151,2,OLP,IMG,Stimuli/Fractals/15b.jpg,-212.132034,-212.132034,f,0.700105,837.145082
152,2,LLP,IMG,Stimuli/Fractals/124a.jpg,212.132034,-212.132034,j,0.816787,841.311052
153,2,ERP,IMG,Stimuli/Fractals/129c.jpg,-212.132034,-212.132034,f,0.866669,848.411079
154,1,LLP,IMG,Stimuli/Fractals/91c.jpg,212.132034,212.132034,f,1.317470,852.911294
155,1,ERP,IMG,Stimuli/Fractals/29b.jpg,-212.132034,-212.132034,f,0.782893,858.427278
156,1,LLP,IMG,Stimuli/Fractals/31c.jpg,0.000000,-300.000000,j,1.516993,868.227501
157,2,ERP,IMG,Stimuli/Fractals/29b.jpg,-212.132034,-212.132034,f,0.916984,874.660995
158,2,LLP,IMG,Stimuli/Fractals/91c.jpg,300.000000,0.000000,f,0.966327,883.759660
159,1,ERP,IMG,Stimuli/Fractals/41b.jpg,0.000000,-300.000000,f,0.983261,887.826929
160,1,OLP,IMG,Stimuli/Fractals/43c.jpg,212.132034,212.132034,f,1.133881,891.526896
161,1,ERP,IMG,Stimuli/Fractals/66b.jpg,0.000000,300.000000,f,1.633542,896.076626
162,2,LLP,IMG,Stimuli/Fractals/31c.jpg,212.132034,-212.132034,j,1.532808,902.025826
163,1,OLP,IMG,Stimuli/Fractals/121c.jpg,212.132034,212.132034,f,0.950387,906.492869
164,2,ERP,IMG,Stimuli/Fractals/41b.jpg,0.000000,-300.000000,f,0.783886,909.859671
165,2,OLP,IMG,Stimuli/Fractals/43b.jpg,212.132034,212.132034,f,1.300501,914.426417
166,2,OLP,IMG,Stimuli/Fractals/121a.jpg,212.132034,212.132034,f,0.799814,921.958954
167,2,ERP,IMG,Stimuli/Fractals/66b.jpg,0.000000,300.000000,f,0.733020,927.942087
168,0,BL,IMG,Stimuli/Fractals/92b.jpg,212.132034,212.132034,j,0.700110,933.959084
169,1,LLP,IMG,Stimuli/Fractals/72c.jpg,0.000000,-300.000000,j,1.616581,952.074696
170,1,LLP,IMG,Stimuli/Fractals/118c.jpg,-300.000000,0.000000,f,0.916463,958.424586
171,2,LLP,IMG,Stimuli/Fractals/72c.jpg,-212.132034,-212.132034,f,1.549832,967.091389
172,1,LLP,IMG,Stimuli/Fractals/42c.jpg,0.000000,-300.000000,j,1.249612,972.840710
173,1,LLP,IMG,Stimuli/Fractals/123c.jpg,300.000000,0.000000,f,1.149901,976.791124
174,1,ERP,IMG,Stimuli/Fractals/80a.jpg,-212.132034,212.132034,j,1.350731,984.024609
175,2,LLP,IMG,Stimuli/Fractals/118c.jpg,-212.132034,-212.132034,f,0.849697,988.557539
176,2,LLP,IMG,Stimuli/Fractals/42c.jpg,-212.132034,-212.132034,f,1.082993,992.340352
177,2,LLP,IMG,Stimuli/Fractals/123c.jpg,212.132034,212.132034,f,1.499883,996.790361
178,1,LLP,IMG,Stimuli/Fractals/30a.jpg,0.000000,-300.000000,j,0.916556,1001.256596
179,2,ERP,IMG,Stimuli/Fractals/80a.jpg,-212.132034,212.132034,j,1.000265,1012.373877
180,1,LLP,IMG,Stimuli/Fractals/85a.jpg,0.000000,300.000000,f,1.683451,1020.106445
181,1,LLP,IMG,Stimuli/Fractals/13a.jpg,300.000000,0.000000,j,1.132944,1029.589440
182,2,LLP,IMG,Stimuli/Fractals/85a.jpg,212.132034,212.132034,j,0.583421,1035.089721
183,1,OLP,IMG,Stimuli/Fractals/44c.jpg,-212.132034,212.132034,j,1.800160,1045.356135
184,2,LLP,IMG,Stimuli/Fractals/30a.jpg,212.132034,-212.132034,j,1.516005,1049.122135
185,1,LLP,IMG,Stimuli/Fractals/64b.jpg,300.000000,0.000000,f,1.333390,1057.989253
186,2,OLP,IMG,Stimuli/Fractals/44a.jpg,-212.132034,212.132034,f,1.250423,1061.455560
187,2,LLP,IMG,Stimuli/Fractals/13a.jpg,212.132034,212.132034,f,1.850165,1066.072380
188,2,LLP,IMG,Stimuli/Fractals/64b.jpg,212.132034,212.132034,f,0.950444,1073.205255
189,0,BL,IMG,Stimuli/Fractals/92b.jpg,212.132034,212.132034,j,0.833792,1081.122110
190,1,OLP,IMG,Stimuli/Fractals/34b.jpg,212.132034,212.132034,f,1.033213,1084.871193
191,1,ERP,IMG,Stimuli/Fractals/122c.jpg,212.132034,-212.132034,j,1.583744,1089.471749
192,1,LLP,IMG,Stimuli/Fractals/37c.jpg,-212.132034,212.132034,j,1.016327,1092.937690
193,2,OLP,IMG,Stimuli/Fractals/34a.jpg,212.132034,212.132034,f,0.883302,1096.854261
194,1,OLP,IMG,Stimuli/Fractals/116a.jpg,-212.132034,212.132034,j,0.866658,1101.871290
195,1,OLP,IMG,Stimuli/Fractals/132a.jpg,300.000000,0.000000,f,1.166840,1106.220983
196,2,OLP,IMG,Stimuli/Fractals/116b.jpg,-212.132034,212.132034,j,1.050167,1113.154225
197,2,ERP,IMG,Stimuli/Fractals/122c.jpg,212.132034,-212.132034,j,1.915854,1117.570408
198,2,LLP,IMG,Stimuli/Fractals/37c.jpg,0.000000,300.000000,j,0.832774,1121.536819
199,1,OLP,IMG,Stimuli/Fractals/94b.jpg,-212.132034,-212.132034,f,1.850032,1127.620120
200,2,OLP,IMG,Stimuli/Fractals/132c.jpg,300.000000,0.000000,f,0.849708,1130.669883
201,1,ERP,IMG,Stimuli/Fractals/101a.jpg,212.132034,212.132034,f,1.083060,1137.969739
202,2,OLP,IMG,Stimuli/Fractals/94c.jpg,-212.132034,-212.132034,j,0.899582,1142.836217
203,1,ERP,IMG,Stimuli/Fractals/53c.jpg,-212.132034,-212.132034,f,0.816826,1146.787022
204,1,OLP,IMG,Stimuli/Fractals/33a.jpg,0.000000,-300.000000,j,0.800832,1151.820254
205,2,ERP,IMG,Stimuli/Fractals/101a.jpg,212.132034,212.132034,f,0.849738,1156.919770
206,1,LLP,IMG,Stimuli/Fractals/27b.jpg,212.132034,-212.132034,f,1.233703,1167.352669
207,2,ERP,IMG,Stimuli/Fractals/53c.jpg,-212.132034,-212.132034,f,0.833773,1176.002576
208,2,LLP,IMG,Stimuli/Fractals/27b.jpg,300.000000,0.000000,f,1.400174,1181.602570
209,2,OLP,IMG,Stimuli/Fractals/33b.jpg,0.000000,-300.000000,j,0.850666,1190.102586
210,0,BL,IMG,Stimuli/Fractals/92b.jpg,212.132034,212.132034,j,0.882623,1196.168325
211,1,ERP,IMG,Stimuli/Fractals/89b.jpg,-300.000000,0.000000,f,0.950547,1200.268665
212,1,OLP,IMG,Stimuli/Fractals/56c.jpg,300.000000,0.000000,j,1.066134,1205.435047
213,1,OLP,IMG,Stimuli/Fractals/8a.jpg,-212.132034,212.132034,j,1.250612,1210.668745
214,2,ERP,IMG,Stimuli/Fractals/89b.jpg,-300.000000,0.000000,f,0.983416,1214.451715
