TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
1,500,,1,OBJ,FOIL,stimuli/fractals/6b.jpg,-0.234375,0.1388888888888889,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
2,1000,,1,OBJ,LURE,stimuli/fractals/22b.jpg,-0.234375,0.1388888888888889,1.0,OLP,stimuli/fractals/22c.jpg,-0.234375,0.1388888888888889,stimuli/fractals/22c.jpg,stimuli/fractals/22a.jpg,stimuli/fractals/22b.jpg,-0.234375,0.1388888888888889,-0.234375,-0.1388888888888889,-0.078125,0.1388888888888889,0.234375,-0.4166666666666667
3,2000,,1,OBJ,TARGET,stimuli/fractals/77a.jpg,-0.078125,0.4166666666666667,2.0,OLP,stimuli/fractals/77a.jpg,-0.078125,0.4166666666666667,stimuli/fractals/77a.jpg,stimuli/fractals/77c.jpg,stimuli/fractals/77b.jpg,-0.078125,0.4166666666666667,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667
4,3000,,1,OBJ,FOIL,stimuli/fractals/138b.jpg,-0.390625,0.1388888888888889,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
5,2000,,1,OBJ,TARGET,stimuli/fractals/98b.jpg,0.390625,-0.4166666666666667,12.0,OLP,stimuli/fractals/98b.jpg,0.390625,-0.4166666666666667,stimuli/fractals/98b.jpg,stimuli/fractals/98a.jpg,stimuli/fractals/98c.jpg,0.390625,-0.4166666666666667,0.390625,-0.1388888888888889,0.234375,-0.4166666666666667,-0.390625,0.4166666666666667
6,1000,,1,OBJ,FOIL,stimuli/fractals/34a.jpg,-0.390625,-0.1388888888888889,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
7,3000,,1,OBJ,TARGET,stimuli/fractals/85a.jpg,-0.234375,0.4166666666666667,18.0,OLP,stimuli/fractals/85a.jpg,-0.234375,0.4166666666666667,stimuli/fractals/85a.jpg,stimuli/fractals/85c.jpg,stimuli/fractals/85b.jpg,-0.234375,0.4166666666666667,-0.234375,0.1388888888888889,-0.078125,0.4166666666666667,0.390625,-0.4166666666666667
8,1000,,1,OBJ,TARGET,stimuli/fractals/105a.jpg,0.078125,0.4166666666666667,4.0,ERP,stimuli/fractals/105a.jpg,0.078125,0.4166666666666667,stimuli/fractals/105a.jpg,stimuli/fractals/105b.jpg,stimuli/fractals/105c.jpg,0.078125,0.4166666666666667,0.234375,0.4166666666666667,0.078125,0.1388888888888889,-0.390625,-0.1388888888888889
9,2000,,1,OBJ,TARGET,stimuli/fractals/109b.jpg,0.390625,0.1388888888888889,8.0,ERP,stimuli/fractals/109b.jpg,0.390625,0.1388888888888889,stimuli/fractals/109b.jpg,stimuli/fractals/109a.jpg,stimuli/fractals/109c.jpg,0.390625,0.1388888888888889,0.390625,-0.1388888888888889,0.390625,0.4166666666666667,-0.234375,0.4166666666666667
10,2000,,1,OBJ,FOIL,stimuli/fractals/132b.jpg,0.390625,0.4166666666666667,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
11,6000,,1,OBJ,LURE,stimuli/fractals/106a.jpg,0.390625,0.4166666666666667,3.0,LLP,stimuli/fractals/106b.jpg,0.390625,0.4166666666666667,stimuli/fractals/106b.jpg,stimuli/fractals/106c.jpg,stimuli/fractals/106a.jpg,0.390625,0.4166666666666667,0.234375,0.4166666666666667,0.390625,0.1388888888888889,-0.078125,-0.4166666666666667
12,2000,,1,OBJ,FOIL,stimuli/fractals/84b.jpg,-0.390625,-0.1388888888888889,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
13,2000,,1,OBJ,LURE,stimuli/fractals/97a.jpg,-0.234375,-0.4166666666666667,11.0,ERP,stimuli/fractals/97c.jpg,-0.234375,-0.4166666666666667,stimuli/fractals/97c.jpg,stimuli/fractals/97b.jpg,stimuli/fractals/97a.jpg,-0.234375,-0.4166666666666667,-0.234375,-0.1388888888888889,-0.078125,-0.4166666666666667,0.390625,0.1388888888888889
14,3000,,1,OBJ,FOIL,stimuli/fractals/99a.jpg,0.390625,-0.1388888888888889,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
15,2000,,1,OBJ,LURE,stimuli/fractals/103b.jpg,-0.078125,-0.4166666666666667,22.0,ERP,stimuli/fractals/103c.jpg,-0.078125,-0.4166666666666667,stimuli/fractals/103c.jpg,stimuli/fractals/103a.jpg,stimuli/fractals/103b.jpg,-0.078125,-0.4166666666666667,-0.234375,-0.4166666666666667,-0.078125,-0.1388888888888889,0.234375,0.4166666666666667
16,1000,,1,OBJ,LURE,stimuli/fractals/16c.jpg,0.078125,-0.1388888888888889,10.0,LLP,stimuli/fractals/16b.jpg,0.078125,-0.1388888888888889,stimuli/fractals/16b.jpg,stimuli/fractals/16a.jpg,stimuli/fractals/16c.jpg,0.078125,-0.1388888888888889,0.234375,-0.1388888888888889,0.078125,-0.4166666666666667,-0.390625,0.4166666666666667
17,1000,,1,OBJ,TARGET,stimuli/fractals/62b.jpg,-0.234375,0.1388888888888889,16.0,LLP,stimuli/fractals/62b.jpg,-0.234375,0.1388888888888889,stimuli/fractals/62b.jpg,stimuli/fractals/62c.jpg,stimuli/fractals/62a.jpg,-0.234375,0.1388888888888889,-0.390625,0.1388888888888889,-0.078125,0.1388888888888889,0.390625,-0.4166666666666667
18,500,,1,OBJ,FOIL,stimuli/fractals/76b.jpg,-0.234375,0.1388888888888889,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
