Xcoordinate,Ycoordinate,Fill
300,0,
299.5888604,15.70078687,
298.3565686,31.35853898,
296.3065022,46.93033951,
293.4442802,62.37350725,
289.7777479,77.64571353,
285.3169549,92.70509831,
280.0741279,107.5103849,
274.0636373,122.0209929,
267.3019573,136.1971499,
259.8076211,150,
251.6011704,163.3917105,
242.7050983,176.3355757,
233.1437884,188.7961173,
222.9434476,200.7391819,
212.1320344,212.1320344,
200.7391819,222.9434476,
188.7961173,233.1437884,
176.3355757,242.7050983,
163.3917105,251.6011704,
150,259.8076211,
136.1971499,267.3019573,
122.0209929,274.0636373,
107.5103849,280.0741279,
92.70509831,285.3169549,
77.64571353,289.7777479,
62.37350725,293.4442802,
46.93033951,296.3065022,
31.35853898,298.3565686,
15.70078687,299.5888604,
1.84E-14,300,
-15.70078687,299.5888604,
-31.35853898,298.3565686,
-46.93033951,296.3065022,
-62.37350725,293.4442802,
-77.64571353,289.7777479,
-92.70509831,285.3169549,
-107.5103849,280.0741279,
-122.0209929,274.0636373,
-136.1971499,267.3019573,
-150,259.8076211,
-163.3917105,251.6011704,
-176.3355757,242.7050983,
-188.7961173,233.1437884,
-200.7391819,222.9434476,
-212.1320344,212.1320344,
-222.9434476,200.7391819,
-233.1437884,188.7961173,
-242.7050983,176.3355757,
-251.6011704,163.3917105,
-259.8076211,150,
-267.3019573,136.1971499,
-274.0636373,122.0209929,
-280.0741279,107.5103849,
-285.3169549,92.70509831,
-289.7777479,77.64571353,
-293.4442802,62.37350725,
-296.3065022,46.93033951,
-298.3565686,31.35853898,
-299.5888604,15.70078687,
-300,3.67E-14,
-299.5888604,-15.70078687,
-298.3565686,-31.35853898,
-296.3065022,-46.93033951,
-293.4442802,-62.37350725,
-289.7777479,-77.64571353,
-285.3169549,-92.70509831,
-280.0741279,-107.5103849,
-274.0636373,-122.0209929,
-267.3019573,-136.1971499,
-259.8076211,-150,
-251.6011704,-163.3917105,
-242.7050983,-176.3355757,
-233.1437884,-188.7961173,
-222.9434476,-200.7391819,
-212.1320344,-212.1320344,
-200.7391819,-222.9434476,
-188.7961173,-233.1437884,
-176.3355757,-242.7050983,
-163.3917105,-251.6011704,
-150,-259.8076211,
-136.1971499,-267.3019573,
-122.0209929,-274.0636373,
-107.5103849,-280.0741279,
-92.70509831,-285.3169549,
-77.64571353,-289.7777479,
-62.37350725,-293.4442802,
-46.93033951,-296.3065022,
-31.35853898,-298.3565686,
-15.70078687,-299.5888604,
-5.51E-14,-300,
15.70078687,-299.5888604,
31.35853898,-298.3565686,
46.93033951,-296.3065022,
62.37350725,-293.4442802,
77.64571353,-289.7777479,
92.70509831,-285.3169549,
107.5103849,-280.0741279,
122.0209929,-274.0636373,
136.1971499,-267.3019573,
150,-259.8076211,
163.3917105,-251.6011704,
176.3355757,-242.7050983,
188.7961173,-233.1437884,
200.7391819,-222.9434476,
212.1320344,-212.1320344,
222.9434476,-200.7391819,
233.1437884,-188.7961173,
242.7050983,-176.3355757,
251.6011704,-163.3917105,
259.8076211,-150,
267.3019573,-136.1971499,
274.0636373,-122.0209929,
280.0741279,-107.5103849,
285.3169549,-92.70509831,
289.7777479,-77.64571353,
293.4442802,-62.37350725,
296.3065022,-46.93033951,
298.3565686,-31.35853898,
299.5888604,-15.70078687,
300,-7.35E-14,
