TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
1,1000,,1,OBJ,TARGET,stimuli/fractals/25c.jpg,-0.390625,0.1388888888888889,1.0,OLP,stimuli/fractals/25c.jpg,-0.390625,0.1388888888888889,stimuli/fractals/25c.jpg,stimuli/fractals/25a.jpg,stimuli/fractals/25b.jpg,-0.390625,0.1388888888888889,-0.390625,0.4166666666666667,-0.234375,0.1388888888888889,0.390625,-0.1388888888888889
2,2000,,1,OBJ,TARGET,stimuli/fractals/2b.jpg,-0.234375,-0.4166666666666667,10.0,ERP,stimuli/fractals/2b.jpg,-0.234375,-0.4166666666666667,stimuli/fractals/2b.jpg,stimuli/fractals/2c.jpg,stimuli/fractals/2a.jpg,-0.234375,-0.4166666666666667,-0.390625,-0.4166666666666667,-0.234375,-0.1388888888888889,0.390625,-0.1388888888888889
3,3000,,1,OBJ,TARGET,stimuli/fractals/48c.jpg,0.078125,0.1388888888888889,13.0,ERP,stimuli/fractals/48c.jpg,0.078125,0.1388888888888889,stimuli/fractals/48c.jpg,stimuli/fractals/48b.jpg,stimuli/fractals/48a.jpg,0.078125,0.1388888888888889,0.078125,0.4166666666666667,-0.078125,0.1388888888888889,-0.390625,-0.4166666666666667
4,2000,,1,OBJ,FOIL,stimuli/fractals/114b.jpg,-0.234375,-0.4166666666666667,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
5,1000,,1,OBJ,LURE,stimuli/fractals/121a.jpg,0.390625,-0.1388888888888889,16.0,ERP,stimuli/fractals/121c.jpg,0.390625,-0.1388888888888889,stimuli/fractals/121c.jpg,stimuli/fractals/121b.jpg,stimuli/fractals/121a.jpg,0.390625,-0.1388888888888889,0.390625,-0.4166666666666667,0.234375,-0.1388888888888889,-0.390625,0.4166666666666667
6,3000,,1,OBJ,LURE,stimuli/fractals/84a.jpg,0.390625,0.1388888888888889,2.0,OLP,stimuli/fractals/84c.jpg,0.390625,0.1388888888888889,stimuli/fractals/84c.jpg,stimuli/fractals/84b.jpg,stimuli/fractals/84a.jpg,0.390625,0.1388888888888889,0.390625,-0.1388888888888889,0.390625,0.4166666666666667,-0.234375,-0.4166666666666667
7,1000,,1,OBJ,FOIL,stimuli/fractals/166a.jpg,-0.390625,0.4166666666666667,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
8,2000,,1,OBJ,LURE,stimuli/fractals/146b.jpg,-0.234375,0.1388888888888889,24.0,ERP,stimuli/fractals/146a.jpg,-0.234375,0.1388888888888889,stimuli/fractals/146a.jpg,stimuli/fractals/146c.jpg,stimuli/fractals/146b.jpg,-0.234375,0.1388888888888889,-0.234375,0.4166666666666667,-0.078125,0.1388888888888889,0.390625,0.4166666666666667
9,2000,,1,OBJ,FOIL,stimuli/fractals/127b.jpg,-0.390625,-0.4166666666666667,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
10,6000,,1,OBJ,FOIL,stimuli/fractals/158c.jpg,-0.390625,0.4166666666666667,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
