TASK,TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
REC,1,3000,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,2,1000,,,OBJ,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,3,1000,,,OBJ,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,4,2000,,,OBJ,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,5,1000,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,6,3000,,,OBJ,TARGET,nan,,,,OLP,nan,,,,,,,,,,,,,
REC,7,1000,,,OBJ,LURE,nan,,,,OLP,nan,,,,,,,,,,,,,
REC,8,500,,,OBJ,TARGET,nan,,,,OLP,nan,,,,,,,,,,,,,
REC,9,4000,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,10,2000,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,11,1000,,,OBJ,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,12,2000,,,OBJ,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,13,500,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,14,2000,,,OBJ,TARGET,nan,,,,OLP,nan,,,,,,,,,,,,,
REC,15,2000,,,OBJ,LURE,nan,,,,OLP,nan,,,,,,,,,,,,,
REC,16,3000,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,17,1000,,,OBJ,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,18,5000,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,19,4000,,,OBJ,LURE,nan,,,,OLP,nan,,,,,,,,,,,,,
REC,20,5000,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,21,1000,,,OBJ,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,22,6000,,,OBJ,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,23,1000,,,OBJ,TARGET,nan,,,,OLP,nan,,,,,,,,,,,,,
REC,24,2000,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,25,3000,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,26,1000,,,OBJ,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,27,4000,,,OBJ,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,28,1000,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,29,2000,,,OBJ,LURE,nan,,,,OLP,nan,,,,,,,,,,,,,
REC,30,1000,,,OBJ,LURE,nan,,,,OLP,nan,,,,,,,,,,,,,
REC,31,5000,,,OBJ,LURE,nan,,,,OLP,nan,,,,,,,,,,,,,
REC,32,1000,,,OBJ,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,33,6000,,,OBJ,TARGET,nan,,,,OLP,nan,,,,,,,,,,,,,
REC,34,2000,,,OBJ,TARGET,nan,,,,OLP,nan,,,,,,,,,,,,,
REC,35,500,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,36,1000,,,OBJ,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,37,500,,,OBJ,FOIL,nan,,,,FOIL,nan,,,,,,,,,,,,,
REC,38,1000,,,OBJ,TARGET,nan,,,,ERP,nan,,,,,,,,,,,,,
REC,39,4000,,,OBJ,LURE,nan,,,,ERP,nan,,,,,,,,,,,,,
